step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 27760: loss 3.1565, time 4192.10ms, mfu 32.57%
iter 27770: loss 3.0929, time 4064.57ms, mfu 32.62%
iter 27780: loss 2.8263, time 4069.12ms, mfu 32.67%
iter 27790: loss 3.0807, time 4130.84ms, mfu 32.66%
iter 27800: loss 3.1681, time 4053.49ms, mfu 32.72%
iter 27810: loss 3.0841, time 4061.31ms, mfu 32.76%
iter 27820: loss 3.2176, time 4055.03ms, mfu 32.81%
iter 27830: loss 3.1985, time 4127.61ms, mfu 32.79%
iter 27840: loss 3.0878, time 4058.95ms, mfu 32.83%
iter 27850: loss 2.9871, time 4041.80ms, mfu 32.88%
iter 27860: loss 3.0069, time 4060.82ms, mfu 32.90%
iter 27870: loss 3.1419, time 4062.42ms, mfu 32.93%
iter 27880: loss 2.9719, time 4063.13ms, mfu 32.95%
iter 27890: loss 3.1705, time 4056.71ms, mfu 32.97%
iter 27900: loss 2.9161, time 4132.01ms, mfu 32.94%
iter 27910: loss 2.9968, time 4059.76ms, mfu 32.96%
iter 27920: loss 3.0789, time 4321.37ms, mfu 32.78%
iter 27930: loss 3.1584, time 4181.77ms, mfu 32.72%
iter 27940: loss 3.1113, time 4060.65ms, mfu 32.77%
iter 27950: loss 3.0668, time 4052.62ms, mfu 32.81%
iter 27960: loss 2.9515, time 4089.86ms, mfu 32.82%
iter 27970: loss 3.0670, time 4209.23ms, mfu 32.74%
iter 27980: loss 3.2247, time 4054.53ms, mfu 32.79%
iter 27990: loss 3.1089, time 4057.27ms, mfu 32.83%
step 28000: train loss 3.0768, val loss 3.0914
saving checkpoint to out
iter 28000: loss 2.9010, time 18587.43ms, mfu 30.27%
iter 28010: loss 3.0620, time 4050.69ms, mfu 30.57%
iter 28020: loss 2.9755, time 4057.91ms, mfu 30.83%
iter 28030: loss 2.9141, time 4186.27ms, mfu 30.96%
iter 28040: loss 3.0238, time 4222.93ms, mfu 31.05%
iter 28050: loss 3.1498, time 4060.75ms, mfu 31.27%
iter 28060: loss 3.0132, time 4085.92ms, mfu 31.43%
iter 28070: loss 3.1230, time 4062.29ms, mfu 31.61%
iter 28080: loss 3.2439, time 4225.84ms, mfu 31.63%
iter 28090: loss 3.0855, time 4053.63ms, mfu 31.79%
iter 28100: loss 3.0689, time 4056.95ms, mfu 31.93%
iter 28110: loss 3.0745, time 4053.82ms, mfu 32.06%
iter 28120: loss 3.0943, time 4066.59ms, mfu 32.16%
iter 28130: loss 3.0406, time 4056.09ms, mfu 32.27%
iter 28140: loss 3.1279, time 4096.29ms, mfu 32.33%
iter 28150: loss 2.8162, time 4051.36ms, mfu 32.42%
iter 28160: loss 3.0389, time 4051.81ms, mfu 32.50%
iter 28170: loss 2.9279, time 4150.94ms, mfu 32.50%
iter 28180: loss 3.1479, time 4060.91ms, mfu 32.56%
iter 28190: loss 3.2113, time 4188.78ms, mfu 32.52%
iter 28200: loss 3.1346, time 4186.17ms, mfu 32.48%
iter 28210: loss 3.1240, time 4055.77ms, mfu 32.56%
iter 28220: loss 3.0722, time 4220.72ms, mfu 32.49%
iter 28230: loss 3.2608, time 4165.05ms, mfu 32.48%
iter 28240: loss 3.0481, time 4062.22ms, mfu 32.54%
iter 28250: loss 3.0248, time 4057.65ms, mfu 32.61%
iter 28260: loss 2.8909, time 4214.65ms, mfu 32.54%
iter 28270: loss 3.1617, time 4062.42ms, mfu 32.60%
iter 28280: loss 3.1131, time 4245.88ms, mfu 32.51%
iter 28290: loss 3.0468, time 4056.81ms, mfu 32.58%
iter 28300: loss 3.0843, time 4066.26ms, mfu 32.63%
iter 28310: loss 3.0509, time 4117.20ms, mfu 32.64%
iter 28320: loss 3.1487, time 4065.18ms, mfu 32.69%
iter 28330: loss 3.1686, time 4062.70ms, mfu 32.74%
iter 28340: loss 2.9265, time 4178.62ms, mfu 32.68%
iter 28350: loss 3.1367, time 4056.99ms, mfu 32.74%
iter 28360: loss 3.1432, time 4050.78ms, mfu 32.79%
iter 28370: loss 3.2617, time 4138.22ms, mfu 32.76%
iter 28380: loss 2.9864, time 4052.56ms, mfu 32.81%
iter 28390: loss 2.9881, time 4222.19ms, mfu 32.72%
iter 28400: loss 2.7929, time 4079.97ms, mfu 32.75%
iter 28410: loss 3.0224, time 4058.01ms, mfu 32.79%
iter 28420: loss 3.0633, time 4065.87ms, mfu 32.82%
iter 28430: loss 2.9689, time 4056.33ms, mfu 32.86%
iter 28440: loss 3.1418, time 4061.53ms, mfu 32.89%
